carat,depth,table,x,y,z,price,cut,color,clarity
0.99,60.7,66,6.42,6.34,3.87,3337,Fair,I,SI1
0.9,58.5,66,6.23,6.25,3.65,3353,Good,I,VS2
1.01,60.1,66,6.44,6.41,3.86,3597,Fair,F,SI2
0.98,61.8,66,6.38,6.27,3.91,3622,Fair,F,SI1
1,65.6,66,6.1,6.01,3.97,3767,Fair,D,SI2
1.01,59.8,66,6.42,6.48,3.86,3816,Fair,G,SI2
1.18,57,66,6.96,6.91,3.98,3899,Fair,D,SI2
0.9,57.5,66,6.3,6.25,3.61,3931,Fair,D,VS2
1,59.3,66,6.44,6.51,3.84,3975,Fair,F,SI2
1.01,56.8,66,6.63,6.58,3.75,3991,Fair,E,SI2
0.97,56.4,66,6.59,6.54,3.7,4063,Fair,F,SI1
0.31,56.9,66,4.53,4.47,2.56,579,Fair,E,SI1
1.05,58.9,66,6.71,6.6,3.92,4281,Fair,I,VS1
0.51,60.7,66,5.21,5.11,3.13,4368,Fair,F,VVS2
1.07,62.2,66,6.57,6.48,4.06,4496,Fair,E,SI2
0.91,61.8,66,6.11,6.09,3.77,4550,Fair,E,VS2
1.18,62,66,6.75,6.63,4.16,4553,Fair,I,VS2
1.07,60.6,66,6.65,6.46,3.97,4554,Fair,F,SI1
1.17,60,66,6.86,6.78,4.09,4717,Fair,H,SI2
0.3,61.7,66,4.25,4.31,2.64,593,Fair,F,VS1
1.01,61.4,66,6.34,6.24,3.87,5062,Fair,H,VS1
1.65,61.6,66,7.61,7.47,4.66,5914,Fair,J,SI1
1.5,68.5,66,6.87,6.76,4.67,6552,Fair,G,SI2
1.42,59.6,66,7.31,7.23,4.33,7214,Fair,G,VS2
2.01,58.7,66,8.3,8.19,4.84,7294,Fair,F,I1
1.57,67.3,66,7.85,5.75,3.87,8133,Fair,H,VS1
1.51,61.8,66,7.18,7.16,4.43,8287,Fair,F,SI2
1.52,62.1,66,7.33,7.13,4.5,8674,Fair,H,VS2
1.76,56.9,66,8.09,7.94,4.56,9314,Fair,J,VS1
1.55,59.7,66,7.59,7.47,4.49,10217,Fair,F,SI1
1.52,55.2,66,7.72,7.67,4.26,10623,Fair,G,VS2
1.5,58.2,66,7.45,7.4,4.32,11128,Fair,E,SI1
2.1,61.4,66,8.26,8.19,5.05,11946,Fair,G,SI2
1.32,58,66,7.31,7.28,4.23,12648,Fair,F,VVS1
2.29,56.8,66,8.79,8.69,4.96,12811,Fair,J,SI1
1.51,60.8,66,7.35,7.25,4.44,12948,Fair,G,VS1
2.01,61.2,66,8.21,8.09,4.98,13587,Fair,H,SI2
2.29,57,66,8.8,8.6,4.98,13701,Fair,J,VS2
2.01,62.1,66,7.99,7.92,4.94,14948,Fair,E,SI2
2.48,56.7,66,8.88,8.64,4.99,15030,Fair,I,SI2
2.01,59.4,66,8.2,8.17,4.86,15627,Fair,D,SI2
0.23,60.3,66,3.91,3.95,2.37,425,Good,D,VVS1
0.23,61.4,66,3.87,3.91,2.39,369,Fair,G,VVS2
0.3,58.6,66,4.36,4.41,2.57,790,Fair,G,VVS1
0.45,57.9,66,5.08,4.98,2.91,794,Fair,F,SI1
0.5,57.5,66,5.3,5.17,3.01,827,Fair,F,I1
0.23,60.3,66,3.93,3.96,2.38,472,Good,F,VVS1
0.43,62.7,66,4.78,4.72,2.98,984,Fair,H,SI1
0.46,58,66,5.08,5.03,2.93,1035,Fair,G,VS1
0.5,59.8,66,5.18,5.09,3.07,1114,Fair,E,SI2
0.54,61.4,66,5.24,5.18,3.2,1114,Fair,F,SI1
0.7,62.1,66,5.56,5.52,3.44,1138,Fair,H,I1
0.5,60.3,66,5.13,5.09,3.08,1327,Fair,G,VS1
0.51,61,66,5.12,5.04,3.1,1334,Fair,F,VS2
0.89,58.8,66,6.21,6.09,3.62,1334,Fair,H,I1
0.52,60.4,66,5.26,5.2,3.16,1401,Fair,I,VVS2
0.52,65.5,66,4.92,4.98,3.24,1427,Good,F,SI1
0.62,55.1,66,5.85,5.7,3.18,1641,Fair,F,SI1
0.57,58.2,66,5.34,5.45,3.14,1816,Good,G,VS2
0.75,55,66,6.2,6.04,3.37,1827,Fair,J,SI1
0.96,62.9,66,6.29,6.07,3.91,1917,Fair,F,I1
0.7,58.2,66,5.77,5.74,3.35,1920,Fair,F,SI2
0.5,60.6,66,5.06,5.1,3.08,1939,Very Good,G,VVS2
0.75,59.1,66,5.99,5.82,3.49,1944,Fair,J,VS2
0.77,60.2,66,5.97,5.81,3.55,1956,Fair,J,SI1
0.7,61,66,5.68,5.64,3.45,1995,Fair,H,SI1
0.7,61.6,66,5.62,5.57,3.45,1995,Fair,G,SI1
0.7,61.5,66,5.55,5.6,3.43,1999,Fair,G,SI2
0.7,57.2,66,5.76,5.74,3.29,2000,Fair,E,SI1
0.77,61.2,66,5.92,5.83,3.6,2005,Fair,J,VS1
0.69,57.8,66,5.9,5.84,3.39,2070,Fair,G,VS1
0.9,59.9,66,6.18,6.14,3.69,2138,Fair,E,I1
0.7,60.2,66,5.77,5.62,3.44,2234,Fair,I,VS1
0.77,59.2,66,5.96,5.9,3.51,2292,Fair,I,VVS2
0.73,55.9,66,6.11,6.01,3.39,2330,Fair,I,VS1
0.7,61.7,66,5.7,5.58,3.48,2352,Fair,G,SI1
0.7,59.6,66,5.8,5.74,3.44,2395,Fair,H,VS1
1.05,61.8,66,6.48,6.37,3.97,2396,Fair,I,I1
0.6,60.1,66,5.48,5.44,3.28,2484,Fair,F,VVS2
0.89,58.9,66,6.26,6.16,3.66,2579,Fair,G,SI2
0.71,57,66,5.83,5.81,3.32,2623,Fair,G,VS2
0.69,61.2,65.4,5.58,5.64,3.42,2235,Fair,G,VS1
0.23,56.9,65,4.05,4.07,2.31,327,Good,E,VS1
0.71,56.9,65,5.89,5.84,3.34,2858,Fair,D,VS2
0.88,56.6,65,6.39,6.32,3.6,2882,Fair,F,SI1
0.57,59.1,65,5.34,5.43,3.18,2990,Good,E,VVS1
0.7,58,65,5.81,5.73,3.39,3073,Good,D,VS2
0.9,62.4,65,6.12,6.09,3.81,3107,Good,I,VS2
0.92,57.4,65,6.42,6.48,3.7,3122,Good,I,SI1
0.72,61.3,65,5.76,5.72,3.52,3145,Good,F,VVS2
0.9,62.4,65,6.09,6.12,3.81,3162,Good,I,VS2
0.9,62.2,65,6.13,6.08,3.8,3274,Good,E,SI1
1.01,61.5,65,6.28,6.21,3.84,3484,Good,E,I1
1,58.1,65,6.48,6.46,3.76,3541,Good,G,SI2
0.9,60.8,65,6.31,6.18,3.8,3625,Good,E,SI1
0.9,57.7,65,6.25,6.29,3.62,3669,Good,G,SI1
1,57.7,65,6.55,6.59,3.79,3696,Good,E,SI2
1,57.6,65,6.47,6.44,3.72,3696,Good,E,SI1
1.14,60,65,6.8,6.75,4.06,3735,Good,I,SI2
0.9,65.7,65,6.06,5.94,3.94,3751,Fair,D,SI1
1,57.7,65,6.59,6.55,3.79,3763,Good,E,SI2
1.02,58.9,65,6.54,6.59,3.87,3773,Good,D,SI2
0.61,62.5,65,5.36,5.29,3.33,3807,Good,F,SI2
1.02,58.9,65,6.59,6.54,3.87,3842,Good,D,SI2
1,59.8,65,6.58,6.43,3.9,3858,Good,F,SI2
1.01,62.2,65,6.34,6.3,3.93,3871,Good,G,SI1
0.9,60.8,65,6.14,6.17,3.74,3933,Good,E,SI1
1,62.2,65,6.28,6.22,3.89,3965,Good,G,SI1
1.01,59.2,65,6.35,6.41,3.78,4047,Good,G,SI2
1,56.8,65,6.61,6.49,3.72,4086,Good,H,SI1
1.01,55.2,65,6.78,6.67,3.71,4118,Fair,E,SI2
1.16,60.8,65,6.78,6.75,4.11,4131,Good,F,SI2
1,56.8,65,6.61,6.49,3.72,4138,Good,H,SI1
1,59.8,65,6.56,6.45,3.89,4213,Good,E,SI1
0.9,57.4,65,6.26,6.29,3.6,4277,Fair,D,VS2
0.9,62.6,65,6.1,6.04,3.8,4334,Good,D,VS2
1,60.2,65,6.38,6.41,3.85,4386,Good,F,SI2
1,58.1,65,6.54,6.48,3.78,4427,Good,D,SI2
1.07,61.3,65,6.59,6.41,4,4446,Good,F,SI2
1,64.9,65,6.31,6.18,4.05,4455,Fair,G,VS1
1,62.5,65,6.24,6.31,3.92,4528,Good,G,SI1
1,60.1,65,6.4,6.44,3.86,4679,Good,F,SI1
0.3,60.8,65,4.26,4.29,2.6,414,Good,D,SI2
0.96,60.7,65,6.43,6.28,3.86,4849,Fair,F,SI1
0.97,60.1,65,6.46,6.36,3.85,4900,Good,F,SI1
1,61.9,65,6.31,6.36,3.92,5005,Good,D,SI1
1.01,60.2,65,6.55,6.48,3.92,5050,Good,G,VS2
1.24,62,65,6.88,6.84,4.25,5146,Good,H,SI1
1,58.6,65,6.61,6.53,3.85,5242,Good,G,VS2
1.04,61.4,65,6.53,6.47,3.99,5535,Good,G,VS2
1.17,60.4,65,6.81,6.77,4.1,5567,Good,D,SI2
1.04,61.4,65,6.53,6.47,3.99,5601,Good,G,VS2
1.35,59.2,65,7.18,7.13,4.23,5610,Good,I,VS2
1.5,61.5,65,7.21,7.17,4.42,6300,Good,E,SI2
1.2,62.2,65,6.75,6.7,4.18,6344,Good,D,SI2
1,60.6,65,6.29,6.36,3.83,6445,Good,E,VS2
1.21,59.5,65,6.88,6.84,4.08,6871,Good,H,VS1
1.42,60.1,65,7.28,7.2,4.35,6894,Very Good,I,VS1
1.56,57.6,65,7.6,7.62,4.38,6966,Good,J,VS2
1.56,57.6,65,7.62,7.6,4.38,7094,Good,J,VS2
1,60,65,6.48,6.43,3.87,7190,Good,E,VS1
1.51,61.7,65,7.31,7.38,4.53,7384,Good,D,SI2
1.5,58.4,65,7.45,7.41,4.34,7434,Good,G,SI1
1.51,61.7,65,7.38,7.31,4.53,7519,Good,D,SI2
1.51,56,65,7.68,7.57,4.27,8794,Fair,G,VS2
1.01,61.1,65,6.38,6.42,3.91,8956,Good,F,VVS2
1.5,60.2,65,7.37,7.34,4.43,9173,Good,D,SI2
1.62,59.6,65,7.69,7.59,4.55,9526,Good,I,VS1
1.5,59.7,65,7.46,7.34,4.42,9954,Good,G,SI1
1.5,61.3,65,7.17,7.23,4.41,10868,Good,E,SI1
2,55.3,65,8.42,8.35,4.64,11202,Fair,H,SI2
3,64.2,65,9.08,8.96,5.79,11548,Good,E,I1
0.29,56.8,65,4.37,4.4,2.49,633,Good,F,IF
1.51,59.8,65,7.36,7.43,4.42,12709,Good,D,VS2
2,57.3,65,8.26,8.22,4.72,13320,Good,E,SI2
2.03,62.7,65,8.17,7.92,5.06,13621,Good,G,SI2
2.51,59.5,65,8.87,8.74,5.24,14251,Good,G,SI2
2.01,59.9,65,8.14,8.19,4.89,15587,Good,I,VS2
2.01,60.9,65,8.22,8.18,4.99,15618,Good,H,SI1
2,58.8,65,8.03,8.1,4.74,15708,Good,I,VS1
2.01,59.9,65,8.19,8.14,4.89,15729,Good,I,VS2
2,58.8,65,8.1,8.03,4.74,15851,Good,I,VS1
1.51,58,65,7.58,7.62,4.41,16613,Very Good,F,VVS2
2.01,59.9,65,8,8.07,4.81,16624,Good,D,SI2
2.01,59.9,65,8.07,8,4.81,16776,Good,D,SI2
0.31,59.2,65,4.42,4.33,2.59,651,Good,H,VS1
0.23,59.9,65,3.93,3.95,2.36,439,Good,E,VVS1
0.23,61.8,65,3.9,3.93,2.42,452,Good,D,VVS2
0.23,60.6,65,3.95,3.97,2.4,458,Good,E,VVS1
0.37,58.6,65,4.68,4.71,2.75,863,Very Good,F,VS1
0.23,59.6,65,3.95,3.97,2.36,378,Very Good,E,VS1
0.37,62.8,65,4.51,4.54,2.84,889,Good,E,VS1
0.25,58,65,4.13,4.18,2.41,476,Good,E,VVS2
0.35,61.3,65,4.51,4.53,2.77,938,Good,E,VS1
0.31,54.2,65,4.61,4.58,2.49,997,Fair,D,VVS2
0.24,60.2,65,3.97,4,2.4,383,Good,F,VS1
0.42,59.9,65,4.83,4.89,2.91,1088,Good,F,VS1
0.4,60.6,65,4.74,4.71,2.86,1110,Good,E,SI1
0.62,59.9,65,5.58,5.5,3.32,1116,Good,J,SI1
0.51,61.8,65,5.07,5.02,3.12,1128,Good,H,VS2
0.54,59.4,65,5.31,5.22,3.13,1131,Good,H,SI1
0.5,56.3,65,5.21,5.24,2.94,1239,Good,H,VS2
0.5,59.3,65,5.1,5.12,3.03,1259,Good,G,VS2
0.5,56.3,65,5.24,5.21,2.94,1332,Fair,H,VS2
0.62,59.4,65,5.54,5.48,3.27,1333,Good,E,SI2
0.68,61.6,65,5.63,5.57,3.45,1341,Good,J,VS1
0.53,54.3,65,5.46,5.51,2.98,1352,Good,D,SI2
0.54,59.1,65,5.28,5.32,3.13,1377,Good,D,SI2
0.51,61.1,65,5.14,5.11,3.13,1424,Good,E,VS2
0.51,60.1,65,5.14,5.17,3.1,1430,Good,D,VS2
0.63,56.1,65,5.73,5.78,3.23,1440,Good,I,VS2
0.53,61.2,65,5.16,5.27,3.19,1440,Good,H,IF
0.55,58.5,65,5.33,5.38,3.13,1587,Very Good,E,SI1
0.74,58.2,65,6.03,5.89,3.47,1865,Fair,E,I1
0.5,55.3,65,5.35,5.31,2.95,1890,Fair,E,VS1
0.7,52.2,65,6.04,5.99,3.14,1895,Fair,D,SI1
0.56,61.7,65,5.21,5.23,3.22,1938,Good,E,VS1
0.3,60.8,65,4.29,4.26,2.6,536,Good,D,SI2
0.51,58.6,65,5.32,5.24,3.1,2020,Good,E,VVS1
0.7,63.6,65,5.67,5.55,3.57,2032,Good,E,SI2
0.73,60.9,65,5.86,5.69,3.51,2085,Good,H,SI2
0.73,53.4,65,6.19,6.15,3.3,2164,Fair,F,SI2
0.71,59.9,65,5.71,5.74,3.43,2165,Good,I,SI1
0.7,57.7,65,5.78,5.72,3.32,2167,Good,F,SI1
0.7,58.9,65,5.69,5.76,3.37,2187,Good,H,VS2
0.61,60,65,5.53,5.47,3.3,2196,Good,F,VS1
0.7,59.1,65,5.75,5.85,3.43,2234,Good,H,VS2
0.7,60.1,65,5.7,5.65,3.41,2268,Good,G,SI2
0.7,63.9,65,5.6,5.56,3.56,2268,Good,I,VS2
0.53,62.5,65,5.11,5.17,3.21,2281,Good,F,VVS2
0.7,58.5,65,5.79,5.76,3.38,2310,Good,D,SI2
0.89,68.2,65,5.82,5.74,3.94,2334,Fair,I,VS1
0.77,63,65,5.82,5.74,3.64,2338,Good,H,SI1
0.7,59.1,65,5.85,5.75,3.43,2352,Good,H,VS2
0.74,62.4,65,5.78,5.71,3.59,2362,Good,H,SI1
0.7,56.2,65,5.93,5.88,3.32,2384,Fair,G,VS1
0.77,63,65,5.82,5.74,3.64,2393,Good,H,SI1
0.7,61.6,65,5.71,5.66,3.5,2401,Good,F,SI1
0.73,60.1,65,5.91,5.81,3.52,2401,Fair,G,VS2
0.67,60.4,65,5.67,5.65,3.42,2427,Good,E,VS1
0.77,57.2,65,6.08,6.02,3.46,2457,Good,H,SI1
0.7,58.5,65,5.81,5.84,3.41,2475,Very Good,H,SI1
0.85,65.8,65,5.88,5.79,3.84,2493,Fair,I,SI1
0.8,57.7,65,6.13,6.08,3.52,2640,Good,E,SI2
0.74,62.6,65,5.66,5.69,3.55,2685,Good,F,SI2
0.75,59.7,65,5.85,5.8,3.48,2717,Good,E,VS2
0.7,64.5,65,5.52,5.45,3.54,2717,Fair,H,VVS2
0.89,64.3,65,6,5.95,3.84,2728,Good,E,SI2
0.5,61.9,64.3,5.01,5.03,3.11,1362,Good,H,VVS2
0.61,63,64.2,5.29,5.32,3.34,1971,Good,F,VS2
0.7,62.1,64,5.62,5.65,3.5,2767,Good,H,VVS2
0.53,57.5,64,5.34,5.37,3.08,2782,Very Good,D,VVS2
0.77,59.4,64,5.97,5.92,3.53,2788,Good,G,VS1
0.71,62.8,64,5.6,5.54,3.5,2817,Good,E,SI1
0.7,61.4,64,5.71,5.66,3.49,2822,Good,E,SI1
0.7,61.4,64,5.66,5.71,3.49,2872,Good,E,SI1
0.9,62.7,64,6.09,6,3.79,2883,Good,H,SI2
0.9,62.7,64,6,6.09,3.79,2934,Good,H,SI2
1.04,59.9,64,6.51,6.45,3.88,2970,Good,I,SI2
0.5,62.4,64,5.03,5.06,3.14,3017,Good,D,VVS2
0.9,60.5,64,6.18,6.11,3.72,3125,Good,H,SI1
0.92,62,64,6.2,6.16,3.83,3153,Good,E,SI2
1,62,64,6.43,6.29,3.94,3192,Good,H,SI2
1,56.3,64,6.58,6.54,3.69,3199,Fair,J,SI2
1,59.4,64,6.52,6.48,3.86,3259,Good,F,SI2
1.04,58.2,64,6.64,6.53,3.85,3285,Good,J,VS2
0.27,59.4,64,4.16,4.19,2.48,567,Very Good,E,VVS2
1.01,58.4,64,6.51,6.48,3.79,3394,Good,I,SI1
0.9,62.3,64,6.09,6.17,3.82,3423,Good,J,VS2
1.02,58.6,64,6.32,6.26,3.68,3427,Good,H,SI2
1.25,60.5,64,6.91,6.82,4.15,3465,Good,I,SI2
0.9,60.3,64,6.14,6.1,3.69,3473,Good,D,SI2
0.93,59.1,64,6.36,6.27,3.73,3500,Good,H,VS1
0.9,61.9,64,6.09,6,3.74,3505,Good,D,SI1
0.9,60.3,64,6.1,6.14,3.69,3534,Good,D,SI2
0.96,60.1,64,6.43,6.35,3.84,3548,Good,H,SI2
0.9,61.9,64,6,6.09,3.74,3567,Good,D,SI1
1.01,66.7,64,6.14,6.05,4.06,3597,Fair,F,SI2
0.9,62.3,64,6.1,6.13,3.81,3605,Very Good,I,VS2
1.02,59.6,64,6.58,6.55,3.91,3633,Good,F,SI2
1,57.8,64,6.55,6.5,3.77,3651,Good,G,SI2
0.9,62.8,64,6.18,5.99,3.82,3659,Good,F,SI1
0.9,63.7,64,6.07,6.02,3.85,3669,Good,I,IF
0.9,63.7,64,6.02,6.07,3.85,3734,Good,I,IF
0.92,63.7,64,6.13,6.08,3.89,3787,Good,F,SI2
1,55.2,64,6.69,6.64,3.68,3830,Fair,H,SI1
1.02,62.8,64,6.36,6.32,3.98,3838,Good,E,SI2
1,59.4,64,6.36,6.29,3.76,3858,Good,F,SI2
1.05,57.8,64,6.74,6.67,3.88,3881,Good,J,VS1
0.9,58.1,64,6.26,6.28,3.64,3884,Good,E,SI1
1,62.9,64,6.27,6.23,3.93,3920,Good,I,SI1
1,58.1,64,6.63,6.51,3.82,3920,Good,J,VS1
1,63.7,64,6.33,6.27,4.01,3920,Good,I,SI1
1,61.5,64,6.29,6.22,3.85,4077,Good,E,SI2
1.01,60.4,64,6.48,6.44,3.9,4129,Good,J,VS1
1.09,61,64,6.58,6.63,4.03,4154,Good,F,SI1
1,59.7,64,6.51,6.45,3.87,4155,Good,I,VS2
0.98,56.8,64,6.68,6.52,3.75,4226,Good,F,SI1
0.9,59.8,64,6.14,6.21,3.69,4229,Good,E,SI1
1.09,61,64,6.63,6.58,4.03,4230,Good,F,SI1
1.07,58.7,64,6.64,6.68,3.91,4232,Good,F,SI2
1.01,60.3,64,6.49,6.52,3.92,4242,Good,H,SI1
1.02,57.7,64,6.7,6.62,3.84,4246,Good,D,SI2
0.91,63.7,64,6.09,6.03,3.86,4256,Good,E,SI1
1.01,61.4,64,6.29,6.42,3.9,4285,Good,E,SI2
1.01,60.3,64,6.52,6.49,3.92,4320,Good,H,SI1
1.27,59.2,64,7.06,6.99,4.16,4324,Good,F,I1
1.01,59.3,64,6.47,6.49,3.84,4399,Good,E,SI1
1.13,60.7,64,6.68,6.63,4,4406,Good,D,SI2
1,63.1,64,6.31,6.25,3.96,4435,Good,E,SI1
1.01,59.3,64,6.49,6.47,3.84,4480,Good,E,SI1
1.06,57,64,6.8,6.71,3.85,4488,Good,F,SI1
1.19,59.8,64,6.94,6.9,4.14,4498,Good,J,SI1
1.01,63.5,64,6.41,6.28,4.03,4538,Good,G,SI1
1.01,60.3,64,6.5,6.53,3.93,4559,Good,H,SI1
1,61.5,64,6.38,6.41,3.93,4568,Good,H,SI1
1.17,60,64,6.91,6.83,4.12,4586,Good,I,SI1
1,59.5,64,6.44,6.41,3.82,4592,Good,H,VVS2
1,58.1,64,6.56,6.6,3.82,4608,Good,F,SI1
1.01,60.3,64,6.53,6.5,3.93,4642,Good,H,SI1
1.21,63.7,64,6.73,6.63,4.25,4669,Good,F,SI2
1.09,62.4,64,6.61,6.51,4.09,4700,Good,H,SI1
1,62.1,64,6.4,6.18,3.91,4732,Good,H,VS1
1.22,61.5,64,6.93,6.87,4.25,4782,Good,H,SI2
1.11,59.2,64,6.8,6.77,4.02,4817,Good,I,VS1
0.91,56.3,64,6.37,6.42,3.6,4823,Good,E,VS2
1.01,60.9,64,6.29,6.22,3.81,4853,Good,E,SI1
1.18,55.9,64,7.15,7.01,3.95,4903,Fair,F,SI2
1.01,59.6,64,6.53,6.45,3.87,4909,Good,H,VS2
1.5,62.4,64,7.22,7.26,4.52,4989,Good,E,I1
1.01,60.5,64,6.48,6.45,3.91,4989,Good,F,SI1
