carat,cut,color,clarity,depth,table,x,y,z,price,index,0.799233891
0.7,Ideal,F,VS1,62,55,5.74,5.71,3.55,2751,53894,0.136906196
1,Premium,H,SI2,59.4,60,6.55,6.49,3.87,3360,3270,0.608800278
0.41,Good,G,SI1,63.4,57,4.7,4.73,2.99,671,28456,0.21460457
1.71,Very Good,F,SI1,63.3,53,7.54,7.59,4.79,13152,24781,0.48865536
0.36,Very Good,H,VVS1,62,55,4.57,4.6,2.84,753,31096,0.366164415
0.9,Good,G,VVS2,63.6,58,6.11,6.1,3.88,4914,10999,0.0428839
0.56,Ideal,D,SI2,62.2,55,5.29,5.32,3.3,1243,41715,0.328770245
0.55,Very Good,F,SI1,59.1,59,5.36,5.4,3.18,1370,43014,0.439584591
0.53,Premium,F,VS2,60.6,55,5.26,5.23,3.18,1753,46240,0.327898796
2.39,Ideal,J,VS1,62.1,57,8.53,8.57,5.31,17365,27147,0.351464697
1.03,Ideal,E,SI1,62,57,6.47,6.44,4,5330,12781,0.111584995
1.01,Premium,G,I1,61.7,62,6.41,6.35,3.93,2364,51359,0.748791554
1.25,Ideal,G,IF,60.2,54,6.99,7.03,4.22,11511,23504,0.685572254
0.55,Premium,D,SI1,61,58,5.27,5.29,3.22,1692,45622,0.436326281
0.72,Premium,F,VS2,60.8,58,5.78,5.74,3.5,2530,52535,0.560479085
0.32,Premium,H,VVS1,62.5,58,4.33,4.37,2.72,730,30402,0.336853796
0.33,Ideal,F,VVS1,61.3,55,4.45,4.46,2.73,939,36364,0.600419561
0.76,Ideal,E,SI1,61.7,57,5.84,5.89,3.62,2949,1273,0.425024437
0.48,Premium,F,VS2,60.1,59,5.12,5.1,3.07,1294,42270,0.109364513
0.51,Ideal,J,VS1,61.6,54,5.14,5.18,3.18,988,37545,0.731199101
2.01,Good,I,VS2,64.3,60,7.91,7.86,5.07,11954,23862,0.509707566
0.32,Ideal,G,VVS1,61.4,57,4.4,4.44,2.71,796,32490,0.90068649
1.14,Ideal,F,I1,61.7,57,6.7,6.67,4.13,3824,5428,0.295029637
1.2,Good,E,SI2,63.3,55,6.73,6.77,4.27,5544,13521,0.915006389
0.28,Ideal,D,VS2,61.2,57,4.2,4.23,2.58,487,38294,0.484204222
1.71,Very Good,H,VS2,58.8,60,7.8,7.85,4.6,12493,24268,0.722403478
0.91,Very Good,F,SI1,61.4,58,6.19,6.23,3.81,3936,5911,0.554458409
0.55,Premium,D,VS2,61.3,60,5.29,5.28,3.24,2030,48839,0.423049713
0.44,Very Good,H,IF,61.1,57,4.91,4.94,3.01,1194,41104,0.60830081
2.04,Very Good,G,SI2,59.9,58,8.26,8.31,4.96,16389,26624,0.40553013
1.04,Very Good,G,SI2,60.6,57,6.56,6.6,3.99,4703,9976,0.934097933
0.51,Ideal,F,VS1,61.8,55,5.13,5.16,3.18,1751,46213,0.191526804
1.54,Ideal,G,SI2,61.9,55,7.47,7.39,4.6,9193,20981,0.176188101
1.61,Good,H,SI2,63.8,62,7.35,7.38,4.7,9005,20767,0.447107031
0.32,Very Good,H,SI2,61.8,55,4.35,4.42,2.71,403,47,0.530006991
1.06,Very Good,H,SI1,62.2,58,6.45,6.53,4.04,4878,10876,0.729281578
0.32,Ideal,G,VS1,61.3,55,4.46,4.42,2.72,828,33428,0.417161322
0.35,Ideal,D,VS2,61.8,55,4.53,4.56,2.81,829,33535,0.449665597
0.34,Premium,D,SI1,59.6,61,4.53,4.5,2.69,803,32768,0.39373811
1.01,Ideal,F,SI1,59.9,60,6.59,6.53,3.93,5215,12285,0.95737519
0.41,Premium,G,SI1,62.5,57,4.72,4.69,2.94,923,36031,0.378356267
0.35,Premium,J,VS1,62.2,58,4.54,4.49,2.81,591,10073,0.752431433
0.35,Ideal,D,SI1,61.6,56,4.53,4.49,2.78,827,33325,0.306818572
1.01,Good,F,VS2,62.1,58,6.28,6.35,3.92,6288,15681,0.189772923
1.11,Fair,E,SI2,64.7,61,6.42,6.39,4.14,4873,10858,0.270261299
0.39,Ideal,E,SI2,61,55,4.74,4.77,2.9,614,17728,0.275210068
1.21,Premium,J,SI1,59.7,60,6.93,6.9,4.13,4574,9308,0.767179925
1.01,Premium,E,VS2,59.3,58,6.53,6.49,3.86,7240,17930,0.177128369
1.55,Premium,I,SI1,62.5,60,7.35,7.33,4.59,9027,20788,0.461216152
0.41,Ideal,E,VS2,62.4,54,4.76,4.79,2.98,935,36248,0.309530767
2.04,Very Good,J,VS2,59.9,59,8.25,8.32,4.96,12095,23960,0.944938639
1.28,Premium,G,VS2,62.2,59,6.94,6.89,4.3,9032,20798,0.364885971
1.07,Premium,F,SI2,61.7,58,6.55,6.58,4.05,4366,8182,0.867125301
0.4,Ideal,F,SI2,61,56,4.76,4.81,2.92,731,30451,0.538722956
1.57,Ideal,G,VS2,61.4,55,7.48,7.52,4.61,13713,25145,0.60961423
0.3,Good,H,SI1,63.4,60,4.23,4.25,2.69,432,28305,0.576749802
0.41,Ideal,G,VS2,62.5,56,4.75,4.72,2.96,1061,39146,0.218522882
0.71,Premium,E,SI2,62.6,58,5.7,5.67,3.56,2450,52042,0.080614596
1.7,Ideal,J,SI2,62,53,7.68,7.65,4.75,7464,18342,0.546323303
1.54,Very Good,E,SI2,59,62,7.56,7.59,4.47,7877,19109,0.607177603
0.54,Ideal,G,SI2,62.3,58,5.17,5.2,3.23,1133,40406,0.620474233
0.33,Premium,E,VS1,60.9,58,4.49,4.45,2.72,1002,37826,0.007751011
0.83,Premium,G,SI1,61.6,59,6.02,5.99,3.7,2975,1445,0.163325097
0.51,Premium,G,VS2,62.4,57,5.11,5.09,3.18,1546,44013,0.681621987
2,Premium,G,SI2,60.4,61,8.21,8.12,4.93,17136,27012,0.447820213
0.73,Ideal,E,SI1,62.7,55,5.7,5.79,3.6,2852,692,0.602958703
1.2,Ideal,H,SI1,62.2,56,6.8,6.77,4.23,6471,16197,0.93839695
1.35,Very Good,I,VS2,62.1,62,6.97,7.05,4.35,6961,17345,0.407904896
0.4,Very Good,F,VVS1,63.7,58,4.65,4.68,2.97,1116,40143,0.898854831
0.51,Ideal,E,VVS2,61.7,57,5.11,5.14,3.16,2209,50114,0.775547928
0.31,Ideal,H,VS1,61.8,54.2,4.33,4.37,2.69,557,739,0.341696499
2.02,Ideal,J,VS2,62,56,8.06,8.13,5.02,12832,24548,0.436261659
0.43,Ideal,D,VS1,61.9,55,4.87,4.85,3.01,1264,41998,0.070191321
1.01,Fair,H,SI1,65.3,57,6.33,6.23,4.1,4256,7592,0.791948202
0.4,Ideal,D,SI1,62,56,4.71,4.68,2.91,990,37639,0.250386628
0.34,Ideal,G,VS2,62.4,57,4.46,4.48,2.79,517,43968,0.435440286
0.31,Ideal,H,VVS1,61.6,55,4.37,4.4,2.7,687,29027,0.544978972
0.4,Ideal,I,IF,62.4,56,4.73,4.7,2.94,1050,38848,0.804107808
1.01,Very Good,E,SI1,60,60,6.43,6.51,3.88,5461,13225,0.790950765
0.8,Very Good,G,SI2,62,55,5.94,6.01,3.7,2915,1114,0.186631967
0.72,Ideal,E,VS1,61.1,57,5.78,5.81,3.54,3947,5947,0.487989023
1.5,Premium,F,I1,60.6,62,7.24,7.22,4.38,5410,13054,0.021669483
0.71,Very Good,F,SI2,63.4,57,5.7,5.63,3.59,2266,50476,0.200891946
0.3,Ideal,E,VS1,62.1,57,4.3,4.33,2.68,670,28436,0.092184809
1.75,Very Good,I,SI2,61.2,57,7.71,7.76,4.73,10098,22079,0.975535311
0.3,Premium,E,VS2,59.1,58,4.37,4.39,2.59,658,28004,0.311121369
0.5,Very Good,G,VS2,62.8,56,5.05,5.08,3.18,1373,43031,0.924730498
1.5,Fair,H,SI1,65.9,56,7.11,7.04,4.66,7211,17871,0.575678153
0.3,Ideal,E,VS2,61.7,55,4.32,4.3,2.66,844,33876,0.184221723
0.43,Ideal,E,SI1,62.3,57,4.78,4.82,2.99,792,32450,0.090138375
1.08,Ideal,I,SI1,61.4,57,6.67,6.62,4.08,4476,8810,0.97476076
1,Fair,F,VS1,64.8,61,6.26,6.21,4.04,6115,15234,0.287033502
0.71,Ideal,G,SI1,59.7,60,5.79,5.81,3.46,2522,52488,0.790055956
0.38,Good,F,VS2,62.7,58,4.56,4.6,2.87,752,31061,0.33669599
0.43,Ideal,H,VS1,61.2,56,4.87,4.9,2.99,850,34037,0.139651401
1.24,Very Good,H,SI2,64,56,6.79,6.83,4.36,5725,14121,0.493585568
0.55,Ideal,J,SI1,61.2,55,5.29,5.3,3.24,982,37390,0.356648468
0.71,Very Good,D,SI1,61.7,56,5.68,5.8,3.54,2913,1104,0.210001854
1.62,Ideal,H,VS2,61.5,61,7.53,7.48,4.62,12542,24294,0.488035847
0.33,Ideal,F,VS2,62.3,56,4.45,4.41,2.76,854,34203,0.474409112
0.37,Ideal,F,SI1,61.6,56,4.61,4.65,2.85,746,30965,0.126311474
1.01,Premium,D,SI1,59.2,61,6.4,6.34,3.77,5147,12004,0.968431485
0.41,Ideal,J,VS1,61.5,55,4.77,4.79,2.94,648,27692,0.46806085
0.75,Very Good,D,SI1,63.9,56,5.73,5.75,3.67,3085,1950,0.253021961
0.4,Ideal,F,VVS2,62.4,56,4.72,4.74,2.95,1088,39693,0.633016284
0.31,Ideal,F,VVS2,60.2,55,4.43,4.45,2.67,814,33018,0.240743553
0.57,Ideal,F,SI2,62.2,53,5.34,5.4,3.34,1308,42402,0.513222613
0.6,Ideal,D,VVS1,61.6,56,5.41,5.43,3.34,3570,4226,0.708030387
2.09,Ideal,G,SI2,62.5,57,8.21,8.14,5.11,11119,23101,0.888426738
0.31,Ideal,G,SI2,61.4,55,4.39,4.37,2.69,558,1383,0.00025644
1.11,Ideal,I,SI1,61.7,57,6.61,6.64,4.09,6090,15151,0.023442066
0.9,Premium,G,VS2,60.9,58,6.34,6.19,3.79,4183,7165,0.137134879
0.32,Ideal,G,VS1,61.6,55,4.43,4.46,2.74,665,28169,0.905125517
0.36,Premium,F,SI1,62.3,59,4.5,4.56,2.82,600,13039,0.292039903
0.52,Ideal,H,VVS1,61.7,55,5.2,5.17,3.2,1847,47395,0.414350002
0.7,Good,I,VS1,63.2,55,5.58,5.63,3.54,2274,50531,0.447372771
2,Very Good,F,SI1,63.3,56,8,7.93,5.04,15851,26378,0.819009602
0.91,Very Good,F,SI1,63.7,58,6.08,6.11,3.88,3991,6162,0.634840481
0.92,Premium,F,SI2,61.8,58,6.23,6.19,3.84,3787,5242,0.463994731
1.02,Premium,H,SI2,59.8,59,6.54,6.5,3.9,4284,7783,0.294056024
0.3,Ideal,E,VVS2,61.6,57,4.29,4.32,2.65,789,32256,0.853081771
0.4,Ideal,J,VVS2,61.9,55,4.74,4.79,2.95,662,28079,0.557564771
0.52,Ideal,E,VS2,61.8,55,5.19,5.17,3.2,1815,46940,0.754768661
0.34,Premium,D,SI2,60.8,60,4.49,4.53,2.74,507,43613,0.973503878
0.49,Premium,E,SI2,61.7,57,5.08,5.06,3.13,949,36671,0.132267119
0.3,Very Good,E,VS2,62,58,4.26,4.29,2.65,658,28024,0.024679231
0.23,Good,F,VVS2,61.2,62,3.95,3.99,2.43,462,33278,0.90393844
1.01,Premium,E,SI2,62.5,60,6.39,6.42,4,4355,8132,0.846974412
0.36,Very Good,E,VS2,62.9,56,4.52,4.54,2.85,631,23398,0.143641807
1.05,Ideal,G,VS2,61.7,57,6.56,6.53,4.04,7028,17494,0.025594984
1.62,Premium,G,VS1,59.4,58,7.74,7.68,4.58,15188,25985,0.608365394
0.25,Very Good,F,VVS1,60.8,57,4.08,4.1,2.48,633,23722,0.799640389
0.53,Ideal,E,VS2,62,56,5.29,5.2,3.25,1956,48285,0.086151567
1.52,Ideal,H,VVS2,62.8,56,7.32,7.3,4.59,12764,24490,0.584714658
0.3,Premium,I,VS1,59.1,59,4.38,4.35,2.58,608,16025,0.292527005
0.5,Premium,G,SI2,58.6,61,5.21,5.16,3.04,1078,39464,0.333201865
0.51,Ideal,D,VS2,61.9,56,5.14,5.11,3.17,1882,47673,0.148475527
1.01,Premium,F,SI2,62.6,60,6.35,6.37,3.98,4416,8473,0.880461638
0.5,Premium,G,VS1,60.7,62,5.1,5.08,3.09,1629,44881,0.897638996
0.31,Ideal,D,VS2,62.6,56,4.36,4.33,2.72,942,36453,0.934400353
1.01,Premium,H,VS2,61.3,59,6.45,6.41,3.94,5260,12516,0.013684913
0.53,Ideal,H,SI2,61.9,54,5.21,5.23,3.23,1020,38326,0.609901434
0.39,Premium,H,SI2,61.2,58,4.51,6.02,4.44,468,34283,0.445788345
1.01,Ideal,G,VS2,62,57,6.4,6.44,3.98,6295,15739,0.841887251
1.34,Ideal,G,VS2,61.9,56,7.1,7.05,4.38,9401,21250,0.502156942
0.35,Very Good,D,SI1,60.2,57,4.56,4.61,2.76,644,25703,0.106996251
1.16,Premium,H,SI2,60.2,59,6.84,6.78,4.1,4872,10846,0.510295098
0.38,Ideal,E,VVS2,62.2,56,4.65,4.58,2.87,1176,40882,0.656321646
1.5,Very Good,E,SI1,58.6,62,7.43,7.46,4.36,10626,22577,0.66785216
0.42,Ideal,G,VS2,62.2,54,4.8,4.82,2.99,847,34001,0.91825765
0.7,Premium,E,VS1,60.3,58,5.7,5.74,3.45,2930,1178,0.023225805
1.51,Premium,F,SI1,63,58,7.32,7.28,4.6,11957,23865,0.360934428
0.4,Good,E,SI1,63.8,56,4.7,4.74,3.01,687,29038,0.285455152
2.04,Premium,G,SI2,61.8,56,8.13,8.05,5,16426,26644,0.579452574
0.63,Very Good,D,SI1,63.1,58,5.49,5.44,3.45,2211,50132,0.186128589
0.51,Very Good,H,VS2,59.8,57,5.22,5.25,3.13,1251,41825,0.940496894
0.55,Premium,E,VS2,62.3,60,5.26,5.18,3.25,2030,48837,0.18184534
0.81,Ideal,E,VVS2,62.2,53.7,5.97,5.99,3.72,5373,12897,0.822108385
0.32,Ideal,E,VS2,61.9,55,4.43,4.42,2.74,900,35408,0.795844471
1.03,Premium,G,I1,60.8,57,6.55,6.51,3.97,3073,1880,0.712350523
1.13,Ideal,H,SI1,62.3,56,6.66,6.69,4.16,5384,12936,0.189512697
0.4,Ideal,E,VS2,62.4,55,4.74,4.71,2.95,975,37234,0.525261058
1.2,Ideal,H,VS2,62,56,6.86,6.81,4.24,6666,16743,0.984176771
0.34,Ideal,I,VVS1,61.8,56,4.5,4.47,2.77,803,32781,0.963245905
0.3,Premium,G,IF,60.2,58,4.39,4.35,2.63,956,36804,0.801391169
0.53,Ideal,G,VVS2,60.4,56,5.24,5.29,3.18,1948,48205,0.845110203
0.51,Very Good,D,VS1,62.4,58,5.13,5.16,3.21,1849,47406,0.489188939
1.5,Ideal,G,SI2,61.4,56,7.34,7.38,4.52,8580,20109,0.042863123
1.21,Ideal,G,VVS2,60.6,56,6.9,6.89,4.18,10256,22209,0.037003544
0.71,Premium,F,SI2,60.2,60,5.8,5.77,3.48,2331,51059,0.344778351
0.9,Good,G,SI1,63.7,60,6.07,6.11,3.88,3734,4966,0.347562362
0.71,Premium,D,VS2,59.2,59,5.8,5.86,3.45,3217,2589,0.230475512
0.83,Premium,H,SI1,60,59,6.08,6.05,3.64,2825,523,0.273592057
0.3,Ideal,F,SI1,60.9,55,4.34,4.38,2.66,550,52314,0.863514158
0.39,Good,H,VS2,63.1,58,4.63,4.66,2.93,718,30033,0.460906918
0.8,Very Good,F,VS1,62.3,57,5.92,5.95,3.7,3720,4897,0.734743371
1,Good,F,SI1,63.6,62,6.3,6.24,3.99,4586,9360,0.171034988
1,Premium,G,VS1,60.9,60,6.45,6.42,3.92,6097,15170,0.684868002
0.59,Ideal,F,VVS2,62,55,5.36,5.38,3.33,2611,53079,0.675485834
1,Ideal,F,SI2,61,55,6.45,6.41,3.92,3562,4194,0.958026076
0.71,Premium,E,SI1,61.4,58,5.77,5.73,3.53,2817,460,0.780532698
0.26,Ideal,G,VS1,62.1,55,4.09,4.12,2.55,478,36945,0.538792683
0.82,Very Good,J,SI1,62.9,57,5.88,5.94,3.72,2313,50864,0.984406307
0.31,Ideal,D,SI1,62.4,56,4.31,4.35,2.7,571,4405,0.854696255
0.7,Ideal,D,VS1,62.3,55,5.64,5.68,3.53,3840,5484,0.255024436
0.34,Ideal,F,SI2,60.1,56,4.54,4.55,2.73,447,30294,0.206764965
1.02,Good,J,SI2,63.4,56,6.36,6.42,4.05,3534,4093,0.867727066
0.75,Ideal,E,VS2,61.7,56,5.86,5.84,3.61,3150,2254,0.701957067
2.44,Very Good,J,VS2,60.1,59,8.75,8.83,5.28,16533,26744,0.963443253
0.37,Very Good,F,SI1,62.5,58,4.52,4.57,2.84,616,18364,0.193052417
1.54,Ideal,I,SI2,60.3,59,7.43,7.46,4.49,8092,19440,0.681225759
0.26,Ideal,F,VVS1,60.3,56,4.15,4.17,2.51,733,30523,0.353896325
0.3,Very Good,D,VS2,62.9,55,4.31,4.34,2.72,610,16719,0.984529276
0.23,Good,E,VVS2,62.2,60,3.9,3.94,2.44,505,42289,0.941564194
0.52,Premium,E,VVS1,59.8,58,5.27,5.24,3.14,2302,50782,0.897649848
0.32,Premium,H,VVS2,62.1,58,4.39,4.34,2.71,828,33419,0.775569489
0.32,Ideal,G,SI1,62.3,57,4.38,4.41,2.74,508,43892,0.441946725
0.5,Very Good,J,VS2,63.2,60,5.06,5.01,3.18,1059,39074,0.905941387
1,Good,H,VS2,62.7,54,6.26,6.31,3.94,4569,9291,0.724767799
1.21,Very Good,F,VS2,61.6,58,6.79,6.88,4.21,8505,19958,0.746556544
1.5,Fair,H,SI2,59.3,58,7.31,7.37,4.35,7098,17629,0.702359224
0.32,Ideal,H,SI1,61.8,55,4.39,4.41,2.72,479,36947,0.227767619
0.31,Ideal,G,VVS1,60.2,58,4.37,4.43,2.65,676,28658,0.864132246
0.82,Premium,F,VS1,62.1,56,6.02,5.97,3.72,3513,3988,0.977606368
0.44,Ideal,D,VS1,62.3,55,4.88,4.85,3.03,1294,42268,0.729922868
0.36,Ideal,F,VS1,60.1,57,4.67,4.62,2.79,1013,38065,0.119888631
0.4,Very Good,E,VVS2,63,55,4.72,4.74,2.98,849,34028,0.577936189
1,Ideal,J,SI2,62.1,56,6.41,6.34,3.96,3528,4042,0.687276931
0.9,Very Good,I,VS1,62.6,58,6.14,6.17,3.85,3447,3687,0.046750485
1.59,Premium,G,SI1,62.2,58,7.51,7.45,4.65,9707,21617,0.297469551
0.33,Premium,H,VS2,61.3,60,4.47,4.44,2.73,668,28387,0.165797934
2,Good,F,SI1,63,64,7.67,7.76,4.86,17869,27327,0.425422785
0.43,Good,D,SI2,63.4,57,4.78,4.81,3.04,669,28416,0.747359051
0.52,Very Good,G,VS1,61.2,57,5.17,5.23,3.18,1420,43477,0.846465407
0.7,Very Good,H,SI1,61.1,56,5.72,5.76,3.51,2548,52619,0.669544289
0.9,Good,I,SI2,64,55,6.11,6.05,3.89,2503,52367,0.095476817
0.53,Ideal,G,VVS1,61.6,57,5.2,5.22,3.21,2153,49729,0.295974554
0.31,Ideal,F,IF,61.2,57,4.35,4.38,2.67,1168,40792,0.10189196
0.36,Very Good,I,VS2,61.6,58,4.52,4.57,2.8,505,42935,0.270013604
1.11,Premium,I,VS2,58.3,60,6.84,6.78,3.97,4744,10226,0.189518895
1.04,Ideal,E,SI2,62,55,6.48,6.51,4.03,4804,10521,0.506052436
0.84,Ideal,G,SI2,61,56,6.13,6.1,3.73,2879,917,0.640763702
2.11,Very Good,G,I1,63.2,57,8.13,8.07,5.12,7834,19019,0.261318495
0.8,Very Good,D,VS2,60.6,63,5.94,5.9,3.59,3419,3567,0.239077323
0.6,Very Good,G,VS1,61.6,56,5.4,5.44,3.34,1912,47883,0.528268065
0.56,Ideal,D,SI1,60.5,57,5.36,5.31,3.23,1814,46900,0.437582828
0.28,Very Good,F,VS1,61,59,4.18,4.24,2.57,487,38287,0.982342601
0.31,Ideal,H,IF,61.8,56,4.36,4.38,2.7,816,33132,0.028471924
0.23,Very Good,G,VVS2,62.9,55,3.88,3.92,2.45,431,27942,0.366884291
1.04,Good,J,SI2,63.8,56,6.36,6.32,4.05,3204,2527,0.536433905
1.01,Premium,F,SI2,58.3,58,6.56,6.55,3.82,3897,5760,0.749761358
0.83,Ideal,E,VS1,62.2,56,5.99,6.03,3.74,5151,12016,0.285279753
0.3,Ideal,D,SI2,63,55,4.26,4.25,2.68,574,5372,0.897978887
0.32,Good,E,SI1,63.3,56,4.34,4.35,2.75,561,1711,0.367022528
0.36,Ideal,E,VS1,61.6,57,4.58,4.54,2.81,1094,39768,0.363445304
0.28,Very Good,G,VVS2,62.3,56,4.16,4.19,2.6,522,44648,0.751044558
1.51,Ideal,H,SI2,62.3,58,7.27,7.33,4.55,7990,19264,0.010454874
1.28,Ideal,I,VS1,61.3,57,7.02,6.98,4.29,7025,17489,0.767714648
1,Ideal,F,SI1,62,55,6.39,6.44,3.98,5239,12423,0.616537673
1.27,Ideal,G,VS2,62.8,54,6.92,6.87,4.33,8705,20287,0.047131833
0.32,Ideal,I,SI2,61.9,56,4.38,4.41,2.72,391,41597,0.997776332
0.32,Very Good,F,VS2,61.2,58,4.38,4.41,2.69,602,13404,0.420071097
1.01,Very Good,G,SI2,62,58,6.41,6.46,3.99,3682,4744,0.493302278
0.34,Ideal,E,VS1,61.8,56,4.51,4.47,2.78,1033,38525,0.175508189
1.01,Very Good,F,SI2,62.4,58,6.37,6.41,3.99,4416,8470,0.380956512
0.9,Premium,H,VS2,60.4,59,6.27,6.24,3.78,4246,7546,0.97734169
0.9,Very Good,E,VS2,62.8,57,6.13,6.16,3.86,4419,8490,0.17984795
1.03,Ideal,F,I1,61.1,55,6.51,6.54,3.99,3444,3668,0.824095156
0.32,Premium,F,VVS2,61.8,60,4.41,4.36,2.71,1008,37991,0.343363419
0.38,Ideal,E,VVS2,62.4,56,4.63,4.69,2.91,1027,38441,0.989203961
0.26,Ideal,G,SI1,61.8,55,4.08,4.11,2.53,377,34938,0.931777989
1.01,Good,H,SI1,63.1,59,6.32,6.36,4,4749,10248,0.400322396
1.21,Ideal,J,VS2,59.6,57,6.98,6.94,4.15,4968,11252,0.790593739
0.7,Good,H,VS2,63.4,60,5.59,5.61,3.55,2394,51601,0.270370643
1.02,Premium,E,SI1,61.5,58,6.46,6.51,3.99,5183,12179,0.353779033
0.31,Ideal,H,VS2,62.4,55,4.33,4.36,2.71,489,38963,0.845371651
0.56,Ideal,E,VS1,61.3,55,5.32,5.29,3.25,2032,48851,0.850614226
0.54,Ideal,F,VS1,60.9,57,5.21,5.26,3.19,1772,46440,0.344053473
0.3,Ideal,G,IF,62.4,55,4.32,4.34,2.7,863,34410,0.373408326
1.19,Very Good,H,SI2,63.4,58,6.79,6.76,4.29,4558,9234,0.776802329
0.53,Ideal,E,VS2,61.9,55,5.22,5.19,3.22,1813,46872,0.157044588
0.31,Very Good,H,VS2,63.2,58,4.33,4.31,2.73,628,22369,0.82948732
0.98,Good,F,SI1,56.8,64,6.68,6.52,3.75,4226,7417,0.126390368
1.06,Premium,G,VVS2,62.4,55,6.54,6.5,4.07,7627,18662,0.328816965
0.3,Good,G,IF,63.5,55,4.26,4.28,2.71,895,35255,0.694832671
0.3,Premium,G,VVS2,61.2,59,4.35,4.31,2.65,878,34844,0.866040257
0.44,Ideal,G,SI1,62.7,57,4.82,4.85,3.03,772,31756,0.282960921
0.3,Ideal,G,IF,62,56,4.31,4.3,2.67,956,36776,0.179359053
1.57,Premium,H,VS2,61,59,7.5,7.54,4.59,11470,23472,0.821907861
1.06,Ideal,I,VS2,61.6,57,6.53,6.58,4.04,5748,14170,0.201800951
0.71,Ideal,F,VS1,61.5,57,5.7,5.74,3.52,3404,3516,0.1780103
0.31,Very Good,I,VVS2,62.5,55,4.33,4.36,2.71,551,52624,0.73992918
0.91,Ideal,J,VS2,61.9,58,6.18,6.22,3.84,3299,2975,0.906777472
